Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;woonfunctie;584235;313003;15112;912349
786;Grave;onbekend;152124;140994;11422;304539
;;bijeenkomstfunctie;6055;1501;0;7556
;;celfunctie;0;3670;0;3670
;;gezondheidszorgfunctie;500;842;0;1343
;;industriefunctie;17423;23697;0;41120
;;kantoorfunctie;3050;16470;0;19521
;;logiesfunctie;397;175;696;1269
;;onderwijsfunctie;2668;17314;0;19982
;;overige gebruiksfunctie;5745;17648;34;23427
;;sportfunctie;1225;9348;0;10572
;;winkelfunctie;5904;15863;56;21823
;;woonfunctie;397164;71000;5399;473563
794;Helmond;onbekend;228640;561005;7330;796975
;;bijeenkomstfunctie;18297;64937;0;83234
;;gezondheidszorgfunctie;2457;14452;55;16964
;;industriefunctie;54959;676114;4033;735106
;;kantoorfunctie;16988;974004;2023;993015
;;logiesfunctie;0;10696;0;10696
;;onderwijsfunctie;15116;75425;0;90541
;;overige gebruiksfunctie;25481;266554;3116;295151
;;sportfunctie;2398;67703;0;70101
;;winkelfunctie;26191;231675;0;257866
;;woonfunctie;2170446;667736;61781;2899962
796;'s-Hertogenbosch;onbekend;502869;710083;14603;1227554
;;bijeenkomstfunctie;43130;84075;318;127523
;;gezondheidszorgfunctie;11132;44621;463;56216
;;industriefunctie;58224;1208135;1133;1267492
;;kantoorfunctie;37317;494187;3390;534895
;;logiesfunctie;7498;10304;0;17802
;;onderwijsfunctie;9496;191673;0;201168
;;overige gebruiksfunctie;45075;302536;4885;352496
;;sportfunctie;2516;109295;0;111812
;;standplaats;0;84;0;84
;;winkelfunctie;52713;293561;1287;347560
;;woonfunctie;2797987;1774831;68374;4641193
797;Heusden;onbekend;667803;633708;37613;1339124
;;bijeenkomstfunctie;24602;28381;0;52982
;;gezondheidszorgfunctie;3230;5810;0;9040
;;industriefunctie;140689;753208;7768;901665
;;kantoorfunctie;78987;126208;7187;212381
;;logiesfunctie;1134;4636;0;5770
;;onderwijsfunctie;992;39461;0;40453
;;overige gebruiksfunctie;7032;47834;27674;82539
;;sportfunctie;983;21590;0;22573
;;winkelfunctie;16058;63834;1616;81508
;;woonfunctie;1292422;407094;33551;1733067
798;Hilvarenbeek;onbekend;514167;478651;23556;1016374
;;bijeenkomstfunctie;10056;8443;0;18499
;;gezondheidszorgfunctie;1925;939;0;2863
;;industriefunctie;24258;100538;0;124796
;;kantoorfunctie;4808;28090;0;32898
;;logiesfunctie;41272;2782;1095;45149
;;onderwijsfunctie;0;7018;0;7018
;;overige gebruiksfunctie;9973;16799;337;27109
;;sportfunctie;3906;27637;0;31543
;;winkelfunctie;9889;15832;0;25721
;;woonfunctie;653671;156545;9198;819415
809;Loon op Zand;onbekend;140195;346887;3499;490581
;;bijeenkomstfunctie;9675;22412;299;32387
;;gezondheidszorgfunctie;2910;5036;0;7946
;;industriefunctie;57037;208859;67;265964
;;kantoorfunctie;5801;45291;0;51093
;;logiesfunctie;21125;8255;269;29649
;;onderwijsfunctie;944;8998;0;9942
;;overige gebruiksfunctie;2553;12351;38;14942
;;sportfunctie;661;21151;0;21812
;;winkelfunctie;7077;50225;0;57302
;;woonfunctie;692789;141798;13646;848233
815;Mill en Sint Hubert;onbekend;408953;283711;5489;698153
;;bijeenkomstfunctie;6924;6659;0;13582
;;gezondheidszorgfunctie;868;3103;0;3971
;;industriefunctie;53156;150535;0;203691
;;kantoorfunctie;2248;20715;0;22964
;;logiesfunctie;1713;296;378;2387
;;onderwijsfunctie;0;12847;0;12847
;;overige gebruiksfunctie;4029;7134;0;11163
;;sportfunctie;2890;20085;0;22975
;;winkelfunctie;5691;18173;0;23863
;;woonfunctie;466386;82576;3653;552615
820;Nuenen, Gerwen en Nederwetten;onbekend;201445;180174;4075;385694
;;bijeenkomstfunctie;5296;10752;80;16127
;;gezondheidszorgfunctie;590;2075;0;2665
;;industriefunctie;6504;173966;737;181207
;;kantoorfunctie;2331;42506;129;44966
;;logiesfunctie;4341;227;0;4567
;;onderwijsfunctie;373;19255;0;19628
;;overige gebruiksfunctie;1777;6472;83;8333
;;sportfunctie;42;14566;0;14608
;;winkelfunctie;8498;99484;0;107981
;;woonfunctie;732730;267963;6351;1007045
823;Oirschot;onbekend;567582;456941;12038;1036561
;;bijeenkomstfunctie;14083;13868;179;28130
;;gezondheidszorgfunctie;500;2255;0;2755
;;industriefunctie;57903;150710;3843;212456
;;kantoorfunctie;16702;173969;17924;208595
;;logiesfunctie;10922;34590;453;45965
;;onderwijsfunctie;6954;20443;0;27397
;;overige gebruiksfunctie;3637;18244;151;22032
;;sportfunctie;676;21229;0;21906
;;winkelfunctie;8839;59393;0;68232
;;woonfunctie;722132;166142;10152;898426
824;Oisterwijk;onbekend;670199;476917;13718;1160834
;;bijeenkomstfunctie;18905;10400;0;29305
;;gezondheidszorgfunctie;1366;1838;0;3204
;;industriefunctie;27736;243173;1499;272408
;;kantoorfunctie;9603;56769;0;66373
;;logiesfunctie;40719;15836;0;56554
;;onderwijsfunctie;82;25170;0;25252
;;overige gebruiksfunctie;12321;30497;8;42826
;;sportfunctie;665;31397;0;32062
;;standplaats;32;1080;0;1112
;;winkelfunctie;11705;71591;0;83296
;;woonfunctie;1030372;313277;11916;1355564
826;Oosterhout;onbekend;362944;1393449;15934;1772327
;;bijeenkomstfunctie;16429;39939;0;56368
;;gezondheidszorgfunctie;394;23019;0;23413
;;industriefunctie;70103;759110;2645;831858
;;kantoorfunctie;10578;96252;2247;109077
;;logiesfunctie;38199;14695;0;52893
;;onderwijsfunctie;5035;47659;0;52694
;;overige gebruiksfunctie;12356;65250;128;77734
;;sportfunctie;5753;31223;0;36975
;;winkelfunctie;8849;122838;213;131900
;;woonfunctie;1308442;443025;30627;1782094
828;Oss;onbekend;883098;1117936;17623;2018657
;;bijeenkomstfunctie;34376;72724;0;107099
;;gezondheidszorgfunctie;3737;20781;0;24518
;;industriefunctie;56305;1215998;2671;1274974
;;kantoorfunctie;15398;329981;17838;363218
;;logiesfunctie;11337;8519;428;20284
;;onderwijsfunctie;4138;83962;0;88100
;;overige gebruiksfunctie;8121;89623;4098;101843
;;sportfunctie;2693;46658;702;50053
;;standplaats;2746;1590;0;4336
;;winkelfunctie;16926;276742;279;293947
;;woonfunctie;2358815;1013522;43852;3416189
840;Rucphen;onbekend;433204;433586;7669;874459
;;bijeenkomstfunctie;7068;8482;0;15550
;;gezondheidszorgfunctie;807;5317;0;6125
;;industriefunctie;36762;106382;329;143473
;;kantoorfunctie;3835;34706;460;39000
;;logiesfunctie;5214;7835;0;13049
;;onderwijsfunctie;505;10181;0;10686
;;overige gebruiksfunctie;10089;25010;244;35344
;;sportfunctie;447;15871;0;16318
;;winkelfunctie;3409;48501;0;51910
;;woonfunctie;877517;187086;9606;1074209
845;Sint-Michielsgestel;onbekend;453278;332412;3809;789499
;;bijeenkomstfunctie;10846;9531;84;20461
;;gezondheidszorgfunctie;2705;1352;0;4057
;;industriefunctie;21885;47219;157;69261
;;kantoorfunctie;9355;21706;367;31428
;;logiesfunctie;2170;1057;0;3228
;;onderwijsfunctie;0;24157;0;24157
;;overige gebruiksfunctie;7809;17062;17;24888
;;sportfunctie;470;16944;0;17414
;;winkelfunctie;9040;41765;0;50806
;;woonfunctie;1030833;249080;16816;1296729
847;Someren;onbekend;654095;649026;6484;1309605
;;bijeenkomstfunctie;11097;3904;0;15001
;;gezondheidszorgfunctie;140;8274;0;8414
;;industriefunctie;51864;277269;7746;336879
;;kantoorfunctie;12371;59720;0;72091
;;logiesfunctie;3769;4156;2264;10188
;;onderwijsfunctie;3091;20437;0;23528
;;overige gebruiksfunctie;205435;670614;1408;877457
;;sportfunctie;1401;26337;0;27737
;;standplaats;0;87;0;87
;;winkelfunctie;11567;44662;84;56313
;;woonfunctie;738540;199179;12187;949907
848;Son en Breugel;onbekend;137551;212110;4286;353948
;;bijeenkomstfunctie;4369;11910;38;16318
;;gezondheidszorgfunctie;356;2393;124;2873
;;industriefunctie;7962;437781;0;445743
;;kantoorfunctie;1609;107425;0;109033
;;logiesfunctie;903;51;0;954
;;onderwijsfunctie;133;16275;0;16408
;;overige gebruiksfunctie;2684;9966;131;12781
;;sportfunctie;306;9098;0;9404
;;standplaats;0;189;0;189
;;winkelfunctie;6783;127056;0;133839
;;woonfunctie;466468;229442;11684;707594
851;Steenbergen;onbekend;677273;818208;13701;1509183
;;bijeenkomstfunctie;13185;3952;0;17137
;;gezondheidszorgfunctie;3150;6893;0;10043
;;industriefunctie;396516;534664;49796;980976
;;kantoorfunctie;473645;34524;26986;535155
;;logiesfunctie;1183;1293;99;2574
;;onderwijsfunctie;902;14693;0;15595
;;overige gebruiksfunctie;11710;25015;130;36855
;;sportfunctie;942;11812;0;12755
;;winkelfunctie;13985;36964;0;50949
;;woonfunctie;750803;166306;15258;932366
852;Waterland;onbekend;147674;136852;2742;287267
;;bijeenkomstfunctie;13782;11474;98;25355
;;gezondheidszorgfunctie;866;4302;0;5168
;;industriefunctie;29486;29295;9;58790
;;kantoorfunctie;7931;1758;2279;11968
;;ligplaats;0;13;0;13
;;logiesfunctie;1809;11275;7629;20713
;;onderwijsfunctie;2403;12230;0;14633
;;overige gebruiksfunctie;3406;7263;229;10898
;;sportfunctie;1118;3656;0;4775
;;standplaats;102;18;0;121
;;winkelfunctie;3421;6149;1212;10781
;;woonfunctie;491970;53886;6810;552666
855;Tilburg;onbekend;602181;1490887;16801;2109870
;;bijeenkomstfunctie;52197;131932;6847;190976
;;celfunctie;0;2794;0;2794
;;gezondheidszorgfunctie;9808;80643;327;90779
;;industriefunctie;108415;3053417;13079;3174911
;;kantoorfunctie;31655;496656;93;528404
;;logiesfunctie;9029;8145;151;17325
;;onderwijsfunctie;13962;244999;157;259119
;;overige gebruiksfunctie;26286;273933;706;300925
;;sportfunctie;13353;85094;0;98448
;;winkelfunctie;69003;478391;0;547393
;;woonfunctie;3543388;2351751;76141;5971280
856;Uden;onbekend;505226;618709;18216;1142151
;;bijeenkomstfunctie;12439;39135;0;51574
;;gezondheidszorgfunctie;570;18050;0;18621
;;industriefunctie;51455;417764;2425;471644
;;kantoorfunctie;11167;401946;2231;415344
;;logiesfunctie;6887;11263;0;18151
;;onderwijsfunctie;1710;37259;0;38969
;;overige gebruiksfunctie;13184;31911;93;45188
;;sportfunctie;1068;22091;0;23160
;;winkelfunctie;11958;221585;0;233543
;;woonfunctie;1122245;577799;13641;1713685
858;Valkenswaard;onbekend;188388;246256;3955;438598
;;bijeenkomstfunctie;13405;18870;264;32539
;;gezondheidszorgfunctie;1487;10941;0;12428
;;industriefunctie;40866;168432;3874;213173
;;kantoorfunctie;11217;302212;56;313485
;;logiesfunctie;1761;1489;0;3250
;;onderwijsfunctie;0;23393;0;23393
;;overige gebruiksfunctie;12923;23884;220;37027
;;sportfunctie;5084;31086;0;36169
;;standplaats;0;118;0;118
;;winkelfunctie;13885;87000;0;100884
;;woonfunctie;886392;301472;11184;1199049
861;Veldhoven;onbekend;194474;231078;2650;428201
;;bijeenkomstfunctie;9879;41080;0;50959
;;gezondheidszorgfunctie;10148;56343;297;66788
;;industriefunctie;44892;407493;750;453135
;;kantoorfunctie;10661;125905;9894;146461
;;logiesfunctie;2275;32474;968;35716
;;onderwijsfunctie;797;25896;132;26825
;;overige gebruiksfunctie;12259;69679;181;82119
;;sportfunctie;2548;36802;0;39350
;;winkelfunctie;8923;97551;0;106475
;;woonfunctie;1214632;410877;15708;1641216
865;Vught;onbekend;212567;224241;5327;442136
;;bijeenkomstfunctie;14923;20057;0;34981
;;celfunctie;2502;15966;0;18467
;;gezondheidszorgfunctie;2920;32442;0;35362
;;industriefunctie;14304;100015;16;114335
;;kantoorfunctie;16917;54960;0;71877
;;logiesfunctie;14252;16762;0;31015
;;onderwijsfunctie;5736;24385;0;30121
;;overige gebruiksfunctie;16246;44204;146;60596
;;sportfunctie;4426;40021;0;44447
;;winkelfunctie;9704;41870;0;51573
;;woonfunctie;889964;265810;11200;1166975
866;Waalre;onbekend;85177;99910;4041;189128
;;bijeenkomstfunctie;4767;2416;0;7183
;;gezondheidszorgfunctie;1087;1829;0;2916
;;industriefunctie;1619;20297;0;21916
;;kantoorfunctie;2413;63775;0;66188
;;logiesfunctie;0;1256;0;1256
;;onderwijsfunctie;205;8954;0;9159
;;overige gebruiksfunctie;3390;7973;50;11414
;;sportfunctie;711;11344;0;12055
;;winkelfunctie;2129;16470;0;18599
;;woonfunctie;538022;180461;10464;728948
867;Waalwijk;onbekend;182303;623370;7883;813556
;;bijeenkomstfunctie;15342;29095;76;44514
;;gezondheidszorgfunctie;2464;20046;3164;25674
;;industriefunctie;68771;1011273;6973;1087017
;;kantoorfunctie;10157;472594;8740;491492
;;logiesfunctie;2106;3295;0;5401
;;onderwijsfunctie;1838;40281;0;42119
;;overige gebruiksfunctie;4993;62506;1913;69412
;;sportfunctie;1085;35120;0;36206
;;standplaats;0;96;0;96
;;winkelfunctie;14669;253842;883;269394
;;woonfunctie;1183203;470232;41066;1694501
873;Woensdrecht;onbekend;236291;329166;3025;568482
;;bijeenkomstfunctie;14688;14667;0;29355
;;gezondheidszorgfunctie;1663;6474;0;8136
;;industriefunctie;24848;236635;339;261822
;;kantoorfunctie;8822;128129;1618;138569
;;logiesfunctie;28540;48735;38;77313
;;onderwijsfunctie;2396;29330;0;31726
;;overige gebruiksfunctie;9565;74286;2709;86560
;;sportfunctie;1244;14961;0;16205
;;winkelfunctie;6970;28794;0;35765
;;woonfunctie;755788;139911;6681;902381
879;Zundert;onbekend;1074227;551699;24881;1650807
;;bijeenkomstfunctie;16156;18925;0;35081
;;gezondheidszorgfunctie;842;3037;0;3879
;;industriefunctie;314855;202478;115;517448
;;kantoorfunctie;3029;26839;1502;31370
;;logiesfunctie;257;180;0;437
;;onderwijsfunctie;170;15265;0;15435
;;overige gebruiksfunctie;4081;11533;24;15638
;;sportfunctie;2276;6524;0;8799
;;winkelfunctie;9681;26651;805;37138
;;woonfunctie;953450;199758;16033;1169241
880;Wormerland;onbekend;133462;98293;2085;233840
;;bijeenkomstfunctie;3189;8327;0;11516
;;gezondheidszorgfunctie;921;2960;0;3882
;;industriefunctie;15001;103682;0;118683
;;kantoorfunctie;662;30584;0;31246
;;logiesfunctie;1527;6399;269;8194
;;onderwijsfunctie;0;5661;0;5661
;;overige gebruiksfunctie;4722;20356;84;25162
;;sportfunctie;832;19714;0;20546
;;winkelfunctie;923;13603;0;14525
;;woonfunctie;350632;125039;7056;482727
882;Landgraaf;onbekend;49639;219059;899;269598
;;bijeenkomstfunctie;14886;33843;5;48734
;;gezondheidszorgfunctie;2355;12198;0;14553
;;industriefunctie;11030;175315;0;186345
;;kantoorfunctie;2145;30391;0;32536
;;logiesfunctie;3756;0;0;3756
;;onderwijsfunctie;481;16053;0;16534
;;overige gebruiksfunctie;5015;32853;85;37954
;;sportfunctie;853;52924;1645;55423
;;winkelfunctie;10232;60538;0;70770
;;woonfunctie;850775;597906;3223;1451904
888;Beek (L.);onbekend;63987;102463;759;167209
;;bijeenkomstfunctie;7445;10313;0;17758
;;gezondheidszorgfunctie;347;3981;0;4328
;;industriefunctie;9874;148014;0;157888
;;kantoorfunctie;4140;102343;0;106483
;;logiesfunctie;247;3067;0;3314
;;onderwijsfunctie;0;14421;0;14421
;;overige gebruiksfunctie;4925;33883;10;38817
;;sportfunctie;19;10349;0;10369
;;winkelfunctie;7247;81606;24;88877
;;woonfunctie;477270;195046;389;672705
889;Beesel;onbekend;191241;153009;8952;353201
;;bijeenkomstfunctie;7444;10033;0;17477
;;gezondheidszorgfunctie;197;2505;591;3293
;;industriefunctie;22620;139187;0;161807
;;kantoorfunctie;4788;16307;0;21095
;;logiesfunctie;13038;16740;0;29778
;;onderwijsfunctie;2209;3237;0;5445
;;overige gebruiksfunctie;1826;5174;18;7018
;;sportfunctie;0;9920;0;9920
;;winkelfunctie;5858;35644;0;41502
;;woonfunctie;456837;107429;2698;566964
893;Bergen (L.);onbekend;477773;315061;2685;795519
;;bijeenkomstfunctie;8877;5863;2723;17463
;;gezondheidszorgfunctie;841;1411;0;2252
;;industriefunctie;99287;95875;0;195161
;;kantoorfunctie;48003;40165;0;88168
;;logiesfunctie;10974;2087;0;13061
;;onderwijsfunctie;1592;6905;0;8496
;;overige gebruiksfunctie;2344;1875;11;4230
;;sportfunctie;1316;14832;0;16148
;;winkelfunctie;10667;18697;0;29364
;;woonfunctie;550218;115257;2492;667967
899;Brunssum;onbekend;33106;115456;3793;152355
;;bijeenkomstfunctie;6552;22385;0;28937
;;gezondheidszorgfunctie;861;5813;0;6674
;;industriefunctie;2622;133018;487;136127
;;kantoorfunctie;5667;112541;29;118236
;;logiesfunctie;857;12463;0;13320
;;onderwijsfunctie;2257;23176;0;25433
;;overige gebruiksfunctie;30230;83629;113;113972
;;sportfunctie;950;24869;0;25819
;;winkelfunctie;3018;70073;85;73176
;;woonfunctie;644225;376309;2337;1022871
907;Gennep;onbekend;269610;301792;8344;579746
;;bijeenkomstfunctie;6102;11148;0;17250
;;gezondheidszorgfunctie;433;3022;0;3455
;;industriefunctie;8681;231612;0;240293
;;kantoorfunctie;4246;112551;0;116797
;;logiesfunctie;22909;42759;0;65668
;;onderwijsfunctie;2333;12636;0;14969
;;overige gebruiksfunctie;7308;33778;852;41939
;;sportfunctie;1336;15087;0;16423
;;winkelfunctie;5393;49454;114;54961
;;woonfunctie;589960;134882;7932;732774
917;Heerlen;onbekend;85092;321894;16107;423094
;;bijeenkomstfunctie;35432;87117;1220;123769
;;gezondheidszorgfunctie;3925;94152;87;98163
;;industriefunctie;30365;693664;0;724029
;;kantoorfunctie;23472;301251;265;324988
;;logiesfunctie;1693;5158;0;6852
;;onderwijsfunctie;7394;152412;0;159805
;;overige gebruiksfunctie;16671;203941;328;220940
;;sportfunctie;999;40916;0;41915
;;winkelfunctie;21446;381462;0;402908
;;woonfunctie;1638281;1094970;13289;2746540
928;Kerkrade;onbekend;56780;248413;1547;306740
;;bijeenkomstfunctie;15007;45101;0;60108
;;celfunctie;0;161;0;161
;;gezondheidszorgfunctie;525;9362;0;9887
;;industriefunctie;18497;535061;2275;555833
;;kantoorfunctie;5922;119250;0;125172
;;logiesfunctie;1213;543;0;1757
;;onderwijsfunctie;9731;23406;0;33137
;;overige gebruiksfunctie;6221;78286;135;84642
;;sportfunctie;686;52728;0;53414
;;winkelfunctie;5930;112883;0;118813
;;woonfunctie;986417;639785;6493;1632694
935;Maastricht;onbekend;117905;469164;11622;598691
;;bijeenkomstfunctie;57217;108612;512;166341
;;gezondheidszorgfunctie;4416;29330;0;33746
;;industriefunctie;29450;559470;1309;590229
;;kantoorfunctie;48922;329070;256;378248
;;logiesfunctie;15291;16309;98;31698
;;onderwijsfunctie;12320;106904;141;119365
;;overige gebruiksfunctie;35033;130664;673;166370
;;sportfunctie;2456;66508;0;68963
;;standplaats;125;2601;0;2727
;;winkelfunctie;56514;294029;1693;352235
;;woonfunctie;2221113;1464952;24960;3711025
938;Meerssen;onbekend;98786;128833;5070;232690
;;bijeenkomstfunctie;9529;13111;0;22640
;;gezondheidszorgfunctie;345;2920;0;3264
;;industriefunctie;5294;68091;0;73385
;;kantoorfunctie;1931;14226;0;16158
;;logiesfunctie;1178;910;0;2089
;;onderwijsfunctie;2256;10404;0;12660
;;overige gebruiksfunctie;8978;38524;56;47557
;;sportfunctie;1463;11518;0;12981
;;winkelfunctie;5906;14401;0;20307
;;woonfunctie;602653;295711;663;899026
944;Mook en Middelaar;onbekend;55684;35599;1035;92318
;;bijeenkomstfunctie;5081;8993;0;14074
;;industriefunctie;2128;21878;0;24006
;;kantoorfunctie;2326;6159;0;8486
;;logiesfunctie;1050;0;0;1050
;;onderwijsfunctie;671;1923;0;2594
;;overige gebruiksfunctie;5957;4950;72;10978
;;sportfunctie;275;6525;0;6800
;;winkelfunctie;2378;18448;1191;22017
;;woonfunctie;295620;70123;2937;368680
946;Nederweert;onbekend;739035;619961;20559;1379555
;;bijeenkomstfunctie;7275;19102;0;26377
;;gezondheidszorgfunctie;1032;2422;0;3454
;;industriefunctie;72902;169568;1115;243585
;;kantoorfunctie;1534;76893;0;78427
;;logiesfunctie;7833;1749;0;9583
;;onderwijsfunctie;844;11349;0;12194
;;overige gebruiksfunctie;3725;9737;12;13473
;;sportfunctie;4414;15243;0;19657
;;winkelfunctie;4320;40231;0;44551
;;woonfunctie;704217;262452;3060;969729
957;Roermond;onbekend;194910;459614;24307;678831
;;bijeenkomstfunctie;28394;45477;325;74196
;;celfunctie;0;4371;0;4371
;;gezondheidszorgfunctie;9354;11367;0;20721
;;industriefunctie;29490;873995;2556;906041
;;kantoorfunctie;25808;152517;60;178385
;;logiesfunctie;8231;13153;0;21384
;;onderwijsfunctie;1646;79213;0;80858
;;overige gebruiksfunctie;13972;144584;79;158635
;;sportfunctie;795;46572;0;47367
;;standplaats;625;0;0;625
;;winkelfunctie;25779;208348;969;235096
;;woonfunctie;1406564;614831;23178;2044572
965;Simpelveld;onbekend;57188;50640;778;108606
;;bijeenkomstfunctie;9494;4181;0;13675
;;gezondheidszorgfunctie;551;681;0;1232
;;industriefunctie;3258;27850;0;31108
;;kantoorfunctie;626;6646;0;7271
;;logiesfunctie;5328;108;0;5436
;;onderwijsfunctie;0;2444;0;2444
;;overige gebruiksfunctie;4397;16047;75;20519
;;sportfunctie;1004;7642;0;8646
;;winkelfunctie;5349;13795;0;19145
;;woonfunctie;317145;139576;2548;459270
971;Stein (L.);onbekend;65106;129996;1057;196158
;;bijeenkomstfunctie;10111;17704;0;27815
;;gezondheidszorgfunctie;3162;1753;0;4915
;;industriefunctie;6965;67949;0;74915
;;kantoorfunctie;6436;134759;0;141195
;;logiesfunctie;1448;5898;0;7346
;;onderwijsfunctie;0;22068;0;22068
;;overige gebruiksfunctie;2257;17341;11;19609
;;sportfunctie;435;9355;0;9790
;;winkelfunctie;8066;59403;0;67469
;;woonfunctie;701686;339329;3786;1044801
981;Vaals;onbekend;59432;46151;744;106327
;;bijeenkomstfunctie;6369;11928;0;18297
;;gezondheidszorgfunctie;711;763;0;1475
;;industriefunctie;1778;14092;0;15869
;;kantoorfunctie;2878;7742;0;10620
;;logiesfunctie;30524;2176;287;32988
;;onderwijsfunctie;0;4970;0;4970
;;overige gebruiksfunctie;947;10611;272;11830
;;sportfunctie;371;6898;0;7269
;;standplaats;0;74;0;74
;;winkelfunctie;7751;13779;0;21530
;;woonfunctie;257652;119446;4889;381987
983;Venlo;onbekend;992156;2012722;82130;3087008
;;bijeenkomstfunctie;41586;76392;38;118016
;;gezondheidszorgfunctie;6528;59442;0;65970
;;industriefunctie;630941;2946236;5735;3582912
;;kantoorfunctie;27788;918989;910;947687
;;logiesfunctie;31909;24108;3066;59084
;;onderwijsfunctie;2446;112395;727;115568
;;overige gebruiksfunctie;56593;260408;1037;318037
;;sportfunctie;6167;64314;0;70481
;;standplaats;0;391;0;391
;;winkelfunctie;49970;379095;853;429918
;;woonfunctie;2688130;1068256;35460;3791846
984;Venray;onbekend;898171;1109442;133047;2140659
;;bijeenkomstfunctie;11991;39285;56;51331
;;gezondheidszorgfunctie;3873;16816;0;20689
;;industriefunctie;304181;1003187;11718;1319086
;;kantoorfunctie;7524;226877;1215;235616
;;logiesfunctie;436;5862;0;6298
;;onderwijsfunctie;1145;32472;0;33617
;;overige gebruiksfunctie;20709;79380;4709;104798
;;sportfunctie;2843;23327;0;26170
;;standplaats;0;106;0;106
;;winkelfunctie;17406;77964;0;95371
;;woonfunctie;1365304;737617;27752;2130674
986;Voerendaal;onbekend;95659;111989;1400;209048
;;bijeenkomstfunctie;6379;10409;0;16788
;;gezondheidszorgfunctie;81;1617;0;1698
;;industriefunctie;11831;30007;0;41838
;;kantoorfunctie;4037;6561;268;10866
;;logiesfunctie;3103;1265;55;4423
;;onderwijsfunctie;0;4217;0;4217
;;overige gebruiksfunctie;1038;2953;137;4128
;;sportfunctie;246;4926;0;5172
;;winkelfunctie;4178;8685;0;12864
;;woonfunctie;400817;186996;4147;591960
988;Weert;onbekend;521508;769161;17651;1308320
;;bijeenkomstfunctie;22541;35668;92;58301
;;gezondheidszorgfunctie;4176;24802;0;28978
;;industriefunctie;87581;776790;0;864371
;;kantoorfunctie;10367;118458;1757;130582
;;logiesfunctie;20186;45174;0;65360
;;onderwijsfunctie;2590;50756;0;53346
;;overige gebruiksfunctie;11652;50948;4877;67477
;;sportfunctie;5334;44501;0;49834
;;winkelfunctie;12775;143991;972;157738
;;woonfunctie;1529239;543073;13393;2085705
994;Valkenburg aan de Geul;onbekend;100850;101246;1366;203462
;;bijeenkomstfunctie;19234;17888;0;37121
;;gezondheidszorgfunctie;512;1935;30;2477
;;industriefunctie;7659;24589;0;32248
;;kantoorfunctie;9771;29072;36;38879
;;logiesfunctie;29643;32584;0;62227
;;onderwijsfunctie;897;12427;0;13324
;;overige gebruiksfunctie;3852;15863;0;19715
;;sportfunctie;1482;22452;0;23934
;;winkelfunctie;10539;24875;0;35414
;;woonfunctie;505503;221947;2127;729577
995;Lelystad;onbekend;277957;354762;16716;649435
;;bijeenkomstfunctie;804;162363;0;163167
;;celfunctie;0;13700;0;13700
;;gezondheidszorgfunctie;163;37886;0;38049
;;industriefunctie;30883;849266;5081;885230
;;kantoorfunctie;2544;201682;710;204936
;;logiesfunctie;938;2745;0;3683
;;onderwijsfunctie;0;105499;0;105499
;;overige gebruiksfunctie;11171;147971;925;160067
;;sportfunctie;1664;43925;2038;47627
;;winkelfunctie;25379;135298;6588;167264
;;woonfunctie;1264265;1097181;49548;2410994
1507;Horst aan de Maas;onbekend;2650042;2045695;108915;4804651
;;bijeenkomstfunctie;19830;52435;480;72745
;;gezondheidszorgfunctie;5139;8371;0;13510
;;industriefunctie;637710;1003109;35512;1676332
;;kantoorfunctie;8827;191223;47;200097
;;logiesfunctie;42181;119952;738;162871
;;onderwijsfunctie;2577;43115;0;45692
;;overige gebruiksfunctie;8655;15074;117;23845
;;sportfunctie;15688;26462;0;42150
;;standplaats;178;0;0;178
;;winkelfunctie;21563;105636;0;127199
;;woonfunctie;1815277;464385;12550;2292213
1509;Oude IJsselstreek;onbekend;744946;585395;10445;1340786
;;bijeenkomstfunctie;22126;25603;0;47729
;;gezondheidszorgfunctie;2676;25067;0;27743
;;industriefunctie;25922;533365;0;559287
;;kantoorfunctie;9097;99919;3799;112815
;;logiesfunctie;1371;68;0;1439
;;onderwijsfunctie;2275;36727;0;39002
;;overige gebruiksfunctie;5764;54735;0;60499
;;sportfunctie;1686;28726;0;30412
;;winkelfunctie;12092;105070;0;117162
;;woonfunctie;1549919;344460;7176;1901556
1525;Teylingen;onbekend;171624;210676;6736;389037
;;bijeenkomstfunctie;11846;28169;0;40015
;;gezondheidszorgfunctie;1455;15734;0;17189
;;industriefunctie;47999;342045;538;390582
;;kantoorfunctie;3419;76586;346;80352
;;logiesfunctie;8884;1658;0;10541
;;onderwijsfunctie;2279;24583;1031;27893
;;overige gebruiksfunctie;57940;155416;796;214152
;;sportfunctie;758;16248;0;17006
;;winkelfunctie;12859;40357;0;53217
;;woonfunctie;813809;254103;35134;1103046
1581;Utrechtse Heuvelrug;onbekend;547608;308501;5198;861308
;;bijeenkomstfunctie;18683;40630;0;59313
;;gezondheidszorgfunctie;2408;13310;0;15718
;;industriefunctie;19925;57498;240;77663
;;kantoorfunctie;39801;68059;430;108290
;;logiesfunctie;41774;72789;1634;116197
;;onderwijsfunctie;9872;47547;0;57419
;;overige gebruiksfunctie;8488;24967;50;33505
;;sportfunctie;4830;38561;0;43392
;;winkelfunctie;14740;46374;10;61125
;;woonfunctie;1398625;423283;26462;1848371
