Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;winkelfunctie;17421;40703;0;58124
;;woonfunctie;1037769;233530;23825;1295124
216;Culemborg;onbekend;93109;138900;4371;236381
;;bijeenkomstfunctie;10259;20735;175;31168
;;gezondheidszorgfunctie;1445;1863;0;3307
;;industriefunctie;7517;349430;1837;358785
;;kantoorfunctie;7996;160340;32;168368
;;logiesfunctie;3342;5525;0;8867
;;onderwijsfunctie;4264;30072;0;34336
;;overige gebruiksfunctie;3023;29403;617;33042
;;sportfunctie;1685;12692;0;14378
;;winkelfunctie;11865;123098;54;135017
;;woonfunctie;615633;183671;41060;840364
221;Doesburg;onbekend;39246;57190;203;96638
;;bijeenkomstfunctie;929;95;0;1024
;;gezondheidszorgfunctie;0;2374;0;2374
;;industriefunctie;3047;8146;0;11192
