"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heusden";"   34400";"    28.4";"    43.2";"    28.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hillegom";"   16800";"    26.6";"    45.4";"    28.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hilvarenbeek";"   11800";"    22.5";"    44.7";"    32.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hilversum";"   67900";"    23.8";"    36.1";"    40.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hoeksche Waard";"   65700";"    26.8";"    47.2";"    25.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hof van Twente";"   25800";"    25.1";"    47.3";"    27.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Het Hogeland";"   35700";"    27.9";"    48.7";"    23.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hollands Kroon";"   37000";"    27.9";"    50.7";"    21.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hoogeveen";"   41200";"    34.2";"    48.4";"    17.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hoogezand-Sappemeer";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hoorn";"   56000";"    28.0";"    44.7";"    27.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Horst aan de Maas";"   32700";"    27.0";"    46.8";"    26.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Houten";"   38300";"    21.3";"    36.9";"    41.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Huizen";"   30500";"    25.1";"    41.4";"    33.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hulst";"   20700";"    27.7";"    48.6";"    23.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"IJsselstein";"   25500";"    25.5";"    43.4";"    31.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Kaag en Braassem";"   21000";"    27.5";"    44.8";"    27.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Kampen";"   40100";"    29.0";"    46.4";"    24.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Kapelle";"    9500";"    27.1";"    46.6";"    26.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Katwijk";"   48700";"    31.2";"    46.7";"    22.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Kerkrade";"   34600";"    34.8";"    46.9";"    18.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Koggenland";"   17300";"    25.9";"    48.5";"    25.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Kollumerland en Nieuwkruisland";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Korendijk";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Krimpen aan den IJssel";"   20700";"    29.8";"    44.9";"    25.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Krimpenerwaard";"   41900";"    29.5";"    44.8";"    25.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Laarbeek";"   17200";"    29.6";"    46.2";"    24.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Land van Cuijk";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Landerd";"   12000";"    26.9";"    46.0";"    27.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Landgraaf";"   28300";"    32.7";"    45.4";"    21.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Landsmeer";"    8400";"    20.3";"    39.8";"    39.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Langedijk";"   21500";"    26.2";"    46.3";"    27.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lansingerland";"   46200";"    23.3";"    38.4";"    38.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Laren (NH.)";"    7700";"    15.9";"    31.8";"    52.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leek";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leerdam";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leeuwarden";"   96600";"    23.7";"    45.2";"    31.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leeuwarderadeel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leiden";"  100900";"    18.7";"    33.0";"    48.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leiderdorp";"   20200";"    21.1";"    39.8";"    39.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leidschendam-Voorburg";"   55600";"    22.5";"    34.5";"    43.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lelystad";"   61400";"    30.6";"    45.3";"    24.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lemsterland";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leudal";"   27400";"    27.2";"    46.2";"    26.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Leusden";"   22600";"    18.9";"    41.3";"    39.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lingewaal";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lingewaard";"   35300";"    27.4";"    44.9";"    27.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lisse";"   17000";"    25.8";"    45.1";"    29.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Littenseradiel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lochem";"   24800";"    22.1";"    42.8";"    35.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Loon op Zand";"   17800";"    27.8";"    48.3";"    23.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Lopik";"   11100";"    34.2";"    45.4";"    20.4"
